region,lat,lng,admin,capital,population,population_proper
Tokyo,35.685,139.751389,Tokyo,primary,35676000,8336599
Osaka,34.683333,135.516667,Osaka,admin,11294000,2592413
Yokohama,35.433333,139.65,Kanagawa,admin,3697894,3697894
Nagoya,35.183333,136.9,Aichi,admin,3230000,2191279
Fukuoka,33.6,130.416667,Fukuoka,admin,2792000,1392289
Sapporo,43.066667,141.35,Hokkaidoç,admin,2544000,1861786
Sendai,38.266667,140.866667,Miyagi,admin,2250000,1037562
Hiroshima,34.4,132.45,Hiroshima,admin,2045000,1143841
Kyoto,35.016667,135.75,Kyoto,admin,1805000,1459640
Kobe,34.683333,135.183333,Hyogo,admin,1528478,1528478
Shinkawasaki,35.550193,139.670327,Kanagawa,NA,1437266,1306785
Hamamatsu,34.7,137.733333,Shizuoka,NA,977023,797462
Zahana,26.166667,127.666667,Okinawa,NA,905238,317906
Okayama,34.65,133.933333,Okayama,admin,866092,639652
Kumamoto,32.783333,130.733333,Kumamoto,admin,718232,680423
Shizuoka,34.983333,138.383333,Shizuoka,admin,701561,671332
Utsunomiya,36.566667,139.883333,Tochigi,admin,667752,449865
Nagano Prefecture,36.65,138.183333,Nagano,admin,594311,360176
Hachioji,35.655833,139.323889,Tokyo,NA,579399,579399
Niigata Prefecture,37.9,139,Niigata,admin,569797,505272
Kagoshima,31.566667,130.55,Kagoshima,admin,555352,516833
Kanazawa,36.6,136.616667,Ishikawa,admin,551249,458937
Otsu,35,135.866667,Shiga,admin,536976,338629
Mitsuhama,33.85,132.716667,Ehime,NA,533541,516637
Tsu,34.733333,136.516667,Mie,admin,500000,284969
Oita,33.233333,131.6,Oita,admin,448907,375294
Tokushima,34.066667,134.566667,Tokushima,admin,443760,267345
Wakayama,34.233333,135.166667,Wakayama,admin,440006,351000
Nagasaki,32.75,129.883333,Nagasaki,admin,435455,410204
Gifu,35.433333,136.783333,Gifu,admin,412895,397714
Iwaki,37.05,140.883333,Fukushima,NA,357309,292045
Asahikawa,43.767778,142.370278,Hokkaidoç,NA,356612,325547
Mito,36.35,140.45,Ibaraki,admin,353892,246538
Maebashi,36.4,139.083333,Gunma,admin,344871,282711
Kawagoe,35.908611,139.485278,Saitama,NA,337931,337931
Kochi,33.55,133.533333,Kochi,admin,335570,310620
Takamatsu,34.333333,134.05,Kagawa,admin,334223,325500
Toyama,36.7,137.216667,Toyama,admin,332812,325532
Miyazaki,31.916667,131.416667,Miyazaki,admin,324384,311203
Akita,39.716667,140.1,Akita,admin,320069,281856
Hakodate,41.775833,140.736667,Hokkaidoç,NA,302984,275730
Aomori,40.816667,140.733333,Aomori,admin,298394,264749
Morioka,39.7,141.15,Iwate,admin,295172,294393
Fukushima,37.75,140.466667,Fukushima,admin,294237,263686
Yamagata,38.233333,140.366667,Yamagata,admin,272209,254538
Fuku,36.04803,136.188686,Fukui,NA,248707,233870
Shinkai,33.956834,130.984615,Fukuoka,NA,245786,226611
Ashino,43.015176,144.397259,Hokkaidoç,NA,198566,183612
Kofu,35.666667,138.566667,Yamanashi,admin,197540,190000
Kure,34.23222,132.566583,Hiroshima,NA,196991,196624
Hiraokamachi,40.609461,140.453279,Aomori,NA,174972,168429
Takaoka,36.75,137.016667,Toyama,NA,170077,78797
Matsue,35.483333,133.05,Shimane,admin,156811,144243
Muroran,42.317222,140.988056,Hokkaidoç,NA,155676,96197
Tottori,35.5,134.233333,Tottori,admin,154098,131173
Otaru,43.189444,141.002222,Hokkaidoç,NA,143792,134729
Kitami,43.803056,143.890833,Hokkaidoç,NA,113137,94806
Sakata,38.916667,139.855,Yamagata,NA,100446,72569
Tsuruoka,38.721667,139.821667,Yamagata,NA,99820,76285
Naka-maizuru,35.466667,135.366667,Kyoto,NA,92465,32598
Kasano,31.390993,130.903752,Kagoshima,NA,82335,54692
Onagawa Cho,38.444912,141.432692,Miyagi,minor,NA,NA
Matsuyama,33.833333,132.766667,Ehime,admin,NA,NA
Inuotose,40.601757,141.326615,Aomori,minor,NA,NA
Saitama,35.9,139.65,Saitama,admin,NA,NA
Hirado,33.368533,129.552469,Nagasaki,minor,NA,NA
Naha,26.216667,127.683333,Okinawa,admin,NA,NA
Kozakai-cho,34.8,137.358889,Aichi,minor,NA,NA
Nara,34.683333,135.833333,Nara,admin,NA,NA
Furudate,40.529338,141.305532,Aomori,minor,NA,NA
Fukui,36.066667,136.216667,Fukui,admin,NA,NA
Uchimaru,40.514368,141.492673,Aomori,minor,NA,NA
Saga,33.233333,130.3,Saga,admin,NA,NA
Yawatahama-shi,33.463056,132.423334,Ehime,minor,NA,NA
Yamaguchi,34.183333,131.466667,Yamaguchi,admin,NA,NA
Chiba,35.6,140.116667,Chiba,admin,NA,NA
Ikata-cho,33.488334,132.354167,Ehime,minor,NA,NA
Kamakura,NA,NA,Kanagawa,NA,175019,NA
Izu Peninsula,NA,NA,Shizuoka,NA,473942,NA
Fuji Five Lakes,NA,NA,NA,NA,NA,NA
Gunma Prefecture,NA,NA,Gunma,admin,1971195,NA
Hikone,NA,NA,Shiga,NA,113679,NA
Yoshino,NA,NA,Nara,NA,9397,NA
Himeji,NA,NA,Hyogo,NA,534881,NA
Hokkaido,NA,NA,Hokkaidoç,admin,5377435,NA
Tohoku,NA,NA,NA,NA,9020531,NA
