Site,Area,Area Type
Shinjuki Gyoen,Tokyo,City
Ueno Park,Tokyo,City
Chidorigafuchi,Tokyo,City
Sumida Park,Tokyo,City
Sankeien Garden,Yokohama,City
Mitsuike Park (Mitsuke Koen),Yokohama,City
Tsurugaoka Hachimangu Shrine,Kamakura,City
Kawazu ,Kawazu,City
Northen Shores of Kawaguchiko,Fuji Five Lakes,Lake
Chureito Pagoda,Fuji Five Lakes,Lake
Akagi Senbonzakura,Gunma,Prefecture
Matsumoto Castle,Nagano,Prefecture
Takato Castle Ruins Park,Nagano,Prefecture
Takada Castle,Niigata,Prefecture
Kenrokuen ,Kanazawa,City
Yamazakigawa Riverside,Nagoya,City
Nagoya Castle,Nagoya,City
Hikone Castle,Hikone,City
Philosopher's Path,Kyoto,City
Maruyama Park,Kyoto,City
Arashiyama,Kyoto,City
Heian Shrine,Kyoto,City
Kema Sakuranomiya Park,Osaka,City
Osaka Castle,Osaka,City
Expo 70 Commemorative Park,Osaka,City
Osaka Mint Bureau,Osaka,City
Nara Park,Nara,City
Mount Yoshinoyama,Yoshino,City
Himeji Castle,Himeji,City
Handayama Botanical Garden,Okayama,City
Korakuen Garden and Okayama Castle,Okayama,City
Tottori Castle Ruins,Tottori,City
Inaba Senbonzakura,Tottori,City
Hiroshima Peace Park,Hiroshima,City
Miyajima,Hiroshima,City
Megijima Island,Takamatsu,City
Matsuyama Castle,Matsuyama,City
Fukuoka Castle (Maizuru Park),Fukuoka,City
Kumamoto Castle,Kumamoto,City
Mikamine Park,Sendai,City
Hanamiyama Park,Fukushima,City
Miharu Takizakura,Fukushima,City
Kitakami,Tohoku,Region
Kakunodate,Tohoku,Region
Hirosaki Castle,Tohoku,Region
Matsumae Park,Hokkaido,Region
Goryokaku Fort,Hokkaido,Region
Maruyama Park and Hokkaido Shrine,Hokkaido,Region
